IdBibliografia,Autore,Titolo,ISBN,new_authors,new_identifier
302,Turchini A.,"Cervia nel XVI secolo. I, La città del sale",8838792348,,"[{'type': 'OTHER', 'identifier': 'UOM:39015063379401'}]"
303,Locati U.,"De Placentinae urbis origine, successu, et laudibus/Cronaca della città di Piacenza ?",,['F.A. Brockhaus Verlag Leipzig'],"[{'type': 'OTHER', 'identifier': 'UCLA:L0103118519'}]"
304,Vacchi A.,"La comunità medievale di ""Gleula"", il distrutto Castello, l'antico territorio sino al Savena?",,,
305,Vasina A.,I conti e il comitato di Bagnacavallo: contributo di storia politica e istituzionale,,['Gianfranco Pasquali'],"[{'type': 'OTHER', 'identifier': 'UVA:X006040396'}]"
306,Vasina A.,I romagnoli fra autonomie cittadine e accentramento papale nell'età di Dante,,['Augusto Vasina'],"[{'type': 'OTHER', 'identifier': 'WISC:89066804550'}]"
307,Vasina A.,Il comune e la signoria,,['Jean-Claude Maire Vigueur'],"[{'type': 'ISBN_13', 'identifier': '9788856856637'}, {'type': 'ISBN_10', 'identifier': '8856856638'}]"
308,Vecchiazzani M.,"Historia di Forlimpopoli con varie revolutioni dell'altre città di Romagna, di Matteo Vecchiazzani parte prima-seconda!",,['Matteo Vecchiazzani'],"[{'type': 'OTHER', 'identifier': 'IBNR:CR000591615'}]"
309,Verrua P.,Forme e aspetti di borgate del piacentino,,['Luigi Dodi'],"[{'type': 'OTHER', 'identifier': 'OCLC:879150120'}]"
310,Vesi A.,Storia di Fontana,,['Antonio Vesi'],"[{'type': 'OTHER', 'identifier': 'OCLC:1046005375'}]"
311,Vicchi L.,Della storia di Fusignano: dalla origine ai giorni nostri: somario,,['Leone Vicchi'],"[{'type': 'OTHER', 'identifier': 'UIUC:30112124138253'}]"
312,Vesi A.,Storia di Romagna dal principio dell' era volgare ai giorni nostri,,['Antonio Vesi'],"[{'type': 'OTHER', 'identifier': 'OCLC:602012396'}]"
313,Toschi U.,Un comune del subappennino romagnolo (Casalfiumanese),,['Umberto Toschi'],"[{'type': 'OTHER', 'identifier': 'OCLC:878380043'}]"
314,Tonduzzi G. C.,Historie di Faenza,,['Giulio Cesare Tonducci'],"[{'type': 'OTHER', 'identifier': 'IBNF:CF005636148'}]"
315,Tiraboschi G.,Storia dell'augusta badia di S. Silvestro di Nonantola. I,,['Girolamo Tiraboschi'],"[{'type': 'OTHER', 'identifier': 'BML:37001101875248'}]"
316,Zama P.,I Manfredi: signori di Faenza,,['Piero Zama'],"[{'type': 'OTHER', 'identifier': 'LCCN:72309669'}]"
317,Visani P.,Dieci libri della historia della sua patria,,['Pompeo VIZANI (Count.)'],"[{'type': 'OTHER', 'identifier': 'OCLC:503975743'}]"
318,Da Ripalta P.,Cronica placentina nella trascrizione di Iacopo Mori,,"['Pietro Da Ripalta', 'Iacopo Mori', 'Mario Fillia', 'Claudia Binello']","[{'type': 'OTHER', 'identifier': 'OCLC:79598159'}]"
319,,Pax Constantiensis. Privilegium Imperatoris,,,"[{'type': 'OTHER', 'identifier': 'PRNC:32101015138140'}]"
320,,Pax veneta. Tregua cum Lombardis,,['Lünig'],"[{'type': 'OTHER', 'identifier': 'ONB:+Z338985503'}]"
321,,Statuti d'Imola del sec. XIV,,"['Marco Valenti', 'Stefano Ricci', 'Vittorio Fronza']","[{'type': 'ISBN_13', 'identifier': '9788878148741'}, {'type': 'ISBN_10', 'identifier': '8878148741'}]"
322,Calori T.,Molinella: cronaca e storia,,['Tullio Calori'],"[{'type': 'OTHER', 'identifier': 'OCLC:86153609'}]"
323,,Viaggio nelle pievi della provincia di Ravenna,8880632191,"['Roberta Budriesi', 'Massimo Fiorentini', 'Fabrizio Zani', 'Ravenna (Italy : Province). Assessorato beni culturali']","[{'type': 'OTHER', 'identifier': 'STANFORD:36105021889816'}]"
324,Vicini E. P.,Le pergamene del monastero di S. Eufemia,,,"[{'type': 'OTHER', 'identifier': 'OCLC:560874263'}]"
325,Vicini E. P.,"Il ""Liber nobilium et potentium""della città di Modena del 1306",,['R. Deputazione di storia patria per le provincie modenesi'],"[{'type': 'OTHER', 'identifier': 'UCAL:B3482991'}]"
326,Vicini E. P.,"Ricerche sull'autore della cronaca ""Annales veronenses de Romana""",,['Emilio Paolo Vicini'],"[{'type': 'OTHER', 'identifier': 'MINN:31951002643420U'}]"
327,Villani G.,Nuova Cronica,,['Giovanni Villani'],"[{'type': 'ISBN_13', 'identifier': '9788828103295'}, {'type': 'ISBN_10', 'identifier': '8828103299'}]"
328,Villani G.,"Storie di Giovanni, Matteo e Filippo Villani",,['Giovanni Villani'],"[{'type': 'OTHER', 'identifier': 'BCUL:1092928087'}]"
329,Torre A.,Ravenna. Storia di 3000 anni,,['Augusto Torre'],"[{'type': 'ISBN_10', 'identifier': '8875671788'}, {'type': 'ISBN_13', 'identifier': '9788875671785'}]"
330,Torre A.,I patti fra Venezia e Cervia,,['Andrea Padovani'],"[{'type': 'ISBN_10', 'identifier': '8880790560'}, {'type': 'ISBN_13', 'identifier': '9788880790563'}]"
331,Torre A.,I polentani fino al tempo di Dante,,['Augusto Torre'],"[{'type': 'OTHER', 'identifier': 'STANFORD:36105039332536'}]"
332,Belletti A.,Zola Predosa: preistoria storia e arte,,['Adolfo Belletti'],"[{'type': 'OTHER', 'identifier': 'LCCN:88152010'}]"
333,Benassi U.,Storia di Parma,,['Angelo Pezzana'],"[{'type': 'OTHER', 'identifier': 'UCLA:L0070630033'}]"
334,Benati A.,Castel d'Aiano nel sec. XIV,,,"[{'type': 'OTHER', 'identifier': 'IBNR:CR300057865'}]"
335,Benati A.,Castel d'Aiano e le sue frazioni: Sassomolare,,['Amedeo Benati'],"[{'type': 'OTHER', 'identifier': 'OCLC:34802728'}]"
336,Torre A.,Le contese per Lugo nel secolo XIV,,['Augusto Torre'],"[{'type': 'OTHER', 'identifier': 'OCLC:875259888'}]"
337,,Annales forolivienses ab origine urbis usque ad annum MCCCCLXXIII,,,"[{'type': 'OTHER', 'identifier': 'OCLC:65129317'}]"
338,,Regestum Ecclesie Mutinensis,,,"[{'type': 'OTHER', 'identifier': 'OCLC:1389592040'}]"
339,,Regesto della Chiesa cattedrale di Modena,,['Modena (Diocese)'],"[{'type': 'OTHER', 'identifier': 'CORNELL:31924063476604'}]"
340,,Regesto della Chiesa cattedrale di Modena,,['Modena (Diocese)'],"[{'type': 'OTHER', 'identifier': 'CORNELL:31924063476604'}]"
341,,Regesto della Chiesa di Ravenna. Le carte dell'Archivio Estense,,['Ravenna (Archdiocese)'],"[{'type': 'OTHER', 'identifier': 'UVA:X000099788'}]"
342,"Nardi L., Orioli E.",Registro Grosso,,,"[{'type': 'OTHER', 'identifier': 'OXFORD:555040123'}]"
343,"Nardi L., Orioli E.",Registro Novo,,['Deputazione di storia patria per le province di Romagna'],"[{'type': 'OTHER', 'identifier': 'UCAL:B5388030'}]"
344,,Relazione sullo stato delle rocche di Romagna stesa nel 1526 per ordine di Clemente VII da Antonio Sangallo,,"['Antonio da Sangallo', 'Michele Sanmicheli']","[{'type': 'OTHER', 'identifier': 'OCLC:253240529'}]"
345,Theiner A.,Codex diplomaticus dominii temporalis S. Sedis: recueil de documents pour servir a l'histoire du go,,['Augustin Theiner (Orat.)'],"[{'type': 'OTHER', 'identifier': 'ONB:+Z206365901'}]"
346,Tassinari Clò O.,Terra e gente di Vimignano,,,"[{'type': 'OTHER', 'identifier': 'NWU:35556023419625'}]"
347,Babini A. F.,Dalla bastia dello Zaniolo alla Bastia di Ca' di Lugo,,['Angelo Francesco Babini'],"[{'type': 'OTHER', 'identifier': 'UCAL:B2836276'}]"
348,Bacchi G.,Tossignano: storia di un paese distrutto,,['Giuseppe Maria Bacchi'],"[{'type': 'OTHER', 'identifier': 'OCLC:878877167'}]"
349,Bacchini A.,"Sissa: una storia, un paese",,['Alberto Bacchini'],"[{'type': 'OTHER', 'identifier': 'LCCN:75570803'}]"
350,Baldisserri L.,Il castello di Mordano,,['Luigi Baldisserri'],"[{'type': 'OTHER', 'identifier': 'OCLC:252260127'}]"
351,Baldisserri L.,Bagnara di Romagna,,['Ernesto Casadio'],"[{'type': 'OTHER', 'identifier': 'UVA:X002250769'}]"
352,Baldisserri L.,I brunori della valle del Senio,,['Luigi Baldisserri'],"[{'type': 'OTHER', 'identifier': 'OCLC:1151715760'}]"
353,Machiavelli N.,Legazioni e commissarie,,['Niccolò Machiavelli'],"[{'type': 'OTHER', 'identifier': 'IBNF:CF990948649'}]"
354,Malispini R.,Storia fiorentina,,['Benedetto Varchi'],"[{'type': 'OTHER', 'identifier': 'KBNL:KBNL03000141863'}]"
355,,Per la storia del castello di Montarsiccio,,['Felice (da Mareto)'],"[{'type': 'OTHER', 'identifier': 'UVA:X002599648'}]"
356,Coleti D.,Notizie storiche della chiesa di San Pietro in Silvis,,['Ignazio Guglielmo Graziani'],"[{'type': 'OTHER', 'identifier': 'BSB:BSB10005136'}]"
357,Colombi B.,Soragna feudo e comune,,,"[{'type': 'OTHER', 'identifier': 'OCLC:930397694'}]"
358,Contarini E.,Le mura che cingevano Bagnacavallo,,['Ettore Contarini'],"[{'type': 'OTHER', 'identifier': 'OCLC:964270662'}]"
359,Corradini C.,"Tra Quarantoli e Reggio Emilia: la domus dei figli di Manfredo, la familia dei Manfredi, il comune",,"['Bruno Andreolli', 'Mauro Calzolari']","[{'type': 'OTHER', 'identifier': 'UOM:39015069304189'}]"
360,Coronelli V.,"Ravenna ricercata antico moderna, accresciuta di memorie ed ornata di copiose figure",,['Vincenzo Maria Coronelli'],"[{'type': 'OTHER', 'identifier': 'OCLC:955828986'}]"
361,Corradini E.,Tutela e conservazione del patrimonio storico-artistico del periodo post-unitario: il castello delle,,"['Marta Bottero', 'Chiara Devoti']","[{'type': 'ISBN_13', 'identifier': '9788892851580'}, {'type': 'ISBN_10', 'identifier': '8892851586'}]"
362,Corni G.,Il castello di Monfestino e il suo territorio,,['Guido Corni'],"[{'type': 'OTHER', 'identifier': 'OCLC:35234115'}]"
363,Cortesi G.,Alla ricerca del porto di Classe. Note di storia e di archeologia,,['Giovanna Bermond Montanari'],"[{'type': 'OTHER', 'identifier': 'STANFORD:36105032776689'}]"
364,Cortesi G.,Alla ricerca del porto di Classe. Notizie di antica topografia classicana,,['Giuseppe Cortesi'],"[{'type': 'OTHER', 'identifier': 'UOM:39015041202436'}]"
365,Cortesi G.,Recenti scoperte archeologiche nella zona di Classe,,['Deborah Mauskopf Deliyannis'],"[{'type': 'ISBN_13', 'identifier': '9780521836722'}, {'type': 'ISBN_10', 'identifier': '0521836727'}]"
366,Cortini G.,Brevi notizie storiche sul comune di Casalfiumanese,,['Giuseppe Fortunato Cortini'],"[{'type': 'OTHER', 'identifier': 'OCLC:887014906'}]"
367,Cortini G.,Linaro in comune d'Imola,,['Giuseppe Fortunato Cortini'],"[{'type': 'OTHER', 'identifier': 'OCLC:797380650'}]"
368,,Appendice ai Monumenti ravennati dei secoli di mezzo del conte Marco Fantuzzi,,['Antonio Tarlazzi'],"[{'type': 'OTHER', 'identifier': 'COLUMBIA:0036749460'}]"
369,,Cronica di Buonaccorso Pitti con annotazioni,,['Bonaccorso Pitti'],"[{'type': 'OTHER', 'identifier': 'IBNF:CF005809782'}]"
370,,La Descriptio civitatis Bononie eiusque comitatus del cardinale Anglico (1371): introduzione ed edizione critica,,"['Anglic de Grimoard', 'Rolando Dondarini']","[{'type': 'OTHER', 'identifier': 'OCLC:27280191'}]"
371,,Diplomata regum et imperatorum Germaniae,,['Monumenta Germaniae Historica (München)'],"[{'type': 'OTHER', 'identifier': 'OCLC:163408830'}]"
372,,I capitoli del comune di Firenze. Inventario e regesto,,['Cesare Guasti'],"[{'type': 'OTHER', 'identifier': 'BSB:BSB11500898'}]"
373,,In agro Decimano. Per un catalogo del patrimonio storico archeologico del territorio a sud di Ravenna,,"['Marilisa Ficara', 'Valentina Manzelli']","[{'type': 'ISBN_13', 'identifier': '9788878143883'}, {'type': 'ISBN_10', 'identifier': '887814388X'}]"
374,,Il Registrum Magnum del Comune di Piacenza,,,"[{'type': 'ISBN_10', 'identifier': '8814002525'}, {'type': 'ISBN_13', 'identifier': '9788814002526'}]"
375,,Insediamento storico e beni culturali,,,"[{'type': 'OTHER', 'identifier': 'OCLC:159825290'}]"
376,,Insediamento storico e beni culturali nel territorio del comune di Monterenzio,,"['Andrea Cardarelli', 'Luigi Malnati']","[{'type': 'ISBN_13', 'identifier': '9788878143180'}, {'type': 'ISBN_10', 'identifier': '8878143189'}]"
377,Ammirato S.,Istorie Fiorentine di Scipione Ammirato con l'aggiunte di Scipione Ammirato il Giovane,,['Scipione Ammirato'],"[{'type': 'OTHER', 'identifier': 'OCLC:456794699'}]"
378,,Konrad bestatigt dem Kloster des h. Donatus bei Imola seine Besitzungen,,"['Holy Roman Empire. Emperor (1024-1039 : Conrad II)', 'Conrad II ((empereur germanique ;)']","[{'type': 'OTHER', 'identifier': 'STANFORD:36105027845887'}]"
380,,"La città dei ""divini alberi"". Cervia e la sua rappresentazione nei secoli",,,"[{'type': 'OTHER', 'identifier': 'OCLC:42798643'}]"
381,,Le antiche pievi della città di Imola,,['Angelo Tafi'],"[{'type': 'OTHER', 'identifier': 'UOM:39015042786155'}]"
382,,Le carte bolognesi del secolo XI,,"['Giovanni Feo', 'Maddalena Modesti', 'Mario Fanti']","[{'type': 'OTHER', 'identifier': 'UOM:39015064102489'}]"
384,,Monastero di S. Giacomo di Bologna,,"[""Biblioteca comunale dell'Archiginnasio (Bologna, Italy)"", 'Luigi Frati']","[{'type': 'OTHER', 'identifier': 'NYPL:33433082483722'}]"
385,,Monastero di S. Stefano,,['Giuseppe Umberto Fracchia'],"[{'type': 'OTHER', 'identifier': 'OCLC:1035971803'}]"
386,,Le Liber Pontificalis,,,"[{'type': 'OTHER', 'identifier': 'NWU:35556016513640'}]"
387,,Le carte del monastero di S. Maria di Montepiano (1000-1200),,"['Churches and Institutions (MARY, the Blessed Virgin). Montepiano. Monastero di S. Maria', 'Renato PIATTOLI']","[{'type': 'OTHER', 'identifier': 'OCLC:562879486'}]"
388,,Le carte del monastero di S. Salvatore di Vaiano (1119-1260),,"['Monastero di S. Salvatore (Vaiano, Italy)', 'Renzo Fantappiè']","[{'type': 'OTHER', 'identifier': 'OCLC:20223057'}]"
389,,Le consulte e pratiche della Repubblica fiorentina (1404),,['Firenze (Repubblica)'],"[{'type': 'OTHER', 'identifier': 'OCLC:956122294'}]"
390,,Le consulte e pratiche della Repubblica fiorentina (1405-1406),,['Laura De Angelis Cappabianca'],"[{'type': 'OTHER', 'identifier': 'UOM:39015040695598'}]"
391,,Le consulte e pratiche della Repubblica fiorentina (1498-1505),,['Denis Fachard'],"[{'type': 'OTHER', 'identifier': 'UOM:39015029933432'}]"
392,,Le consulte e pratiche della Repubblica fiorentina nel Quattrocento (1401),,,"[{'type': 'OTHER', 'identifier': 'OCLC:832469263'}]"
393,,Liber Censuum Comunis Pistorii,,['Pistoia (Italy)'],"[{'type': 'OTHER', 'identifier': 'PRNC:32101074754761'}]"
394,,Memoriali del comune bolognese,,['Guido Zaccagnini'],"[{'type': 'OTHER', 'identifier': 'OCLC:500438013'}]"
395,,Mirabilia. Guida per le scuole alle cose straordinarie di Ravenna,,"['Donatella Mazza', 'Vittorio Pranzini']","[{'type': 'OTHER', 'identifier': 'OCLC:28160018'}]"
396,,Monastero di S. Salvatore di Fontana Taona secoli XI e XII,,['V. Torelli Vignali'],"[{'type': 'ISBN_10', 'identifier': '8866120081'}, {'type': 'ISBN_13', 'identifier': '9788866120087'}]"
397,,Monastero di Sant'Agnese,,['Isa Lori Sanfilippo'],"[{'type': 'ISBN_10', 'identifier': '8897808441'}, {'type': 'ISBN_13', 'identifier': '9788897808442'}]"
399,,Notiziario. Scavi al Ponte Marino,,,"[{'type': 'OTHER', 'identifier': 'IND:30000092031560'}]"
400,,"Prontuario illustrato per la denominazione delle piazze, vie e vicoli e per la numerazione dei fabbricati della città di Ravenna, attivato al 1 gennaio 1882 in esecuzione alla deliberazione del Consiglio Comunale 14 ottobre 1881",,['Biblioteca nazionale centrale di Firenze'],"[{'type': 'OTHER', 'identifier': 'STANFORD:36105118912869'}]"
401,,Ranchio: vita e storia di una comunità,,,"[{'type': 'OTHER', 'identifier': 'OCLC:955877164'}]"
402,,Regesto di S. Apollinare Nuovo,,,"[{'type': 'OTHER', 'identifier': 'NYPL:33433081863452'}]"
403,,Respublica Mutinensis (1306-1307),,['Modena (Italy)'],"[{'type': 'OTHER', 'identifier': 'OCLC:78842108'}]"
404,,Respublica Mutinensis (1306-1307),,['Modena (Italy)'],"[{'type': 'OTHER', 'identifier': 'OCLC:78842108'}]"
405,,Rocche e castelli di Romagna. II,888694652x,,"[{'type': 'OTHER', 'identifier': 'STANFORD:36105003731507'}]"
406,,Statuti di Bologna dell'anno 1288,,['Bologna'],"[{'type': 'OTHER', 'identifier': 'UVA:X000712382'}]"
407,,Spicilegium Ravennatis Historiae,,['Pietro Paolo Ginanni'],"[{'type': 'OTHER', 'identifier': 'BSB:BSB10679231'}]"
408,,Statuta populi et communis Florentiae,,"['Firenze', 'Firenze Ducato']","[{'type': 'OTHER', 'identifier': 'IBNN:BN001407688'}]"
409,,Statuto della città: 1334,,['Giuseppe Salvioli'],"[{'type': 'OTHER', 'identifier': 'HARVARD:32044059167387'}]"
410,,Statuto del secolo XIII del Comune di Ravenna,,"['Ravenna', 'Silvio Bernicoli']","[{'type': 'OTHER', 'identifier': 'UCAL:$C159576'}]"
411,Venturi S.,Castelli bolognesi dall'età comunale alla signoria,8836602282,['Giuseppe Adani'],"[{'type': 'OTHER', 'identifier': 'UVA:X001731775'}]"
413,,Chronicon Estense: gesta Marchionum estensium complectes ab anno 1101 usque ad annum 1354,,['ESTE CHRONICLE.'],"[{'type': 'OTHER', 'identifier': 'OCLC:560743480'}]"
415,Arata A.,"Il ""castrum"", la chiesa e due antiche pergamene di Vigoleno",,,"[{'type': 'OTHER', 'identifier': 'SRLF:A0002167781'}]"
416,Ardizzoni F.,Antichità presunte e reali di Galliera,,['Stefano Cremonini'],"[{'type': 'OTHER', 'identifier': 'UOM:39015062460251'}]"
417,,Archivio Ducale Sforzesco Registro delle Missive,,['Archivio di Stato di Milano'],"[{'type': 'OTHER', 'identifier': 'OCLC:10467625'}]"
418,Artocchini C.,Il castello di Cariseto in Val d'Aveto,,,"[{'type': 'OTHER', 'identifier': 'UCAL:$B518984'}]"
419,Balduzzi L.,Arma di Cotignola,,,"[{'type': 'OTHER', 'identifier': 'HARVARD:32044095335501'}]"
420,Randi A.,I monumenti di Ravenna: breve guida con venti illustrazioni e pianta,,['Biblioteca nazionale centrale di Firenze'],"[{'type': 'OTHER', 'identifier': 'STANFORD:36105118912869'}]"
421,Agostinelli E. R.,L'architettura,,['Franco Purini'],"[{'type': 'ISBN_13', 'identifier': '9788849253542'}, {'type': 'ISBN_10', 'identifier': '8849253540'}]"
422,Ammirato S.,Istorie fiorentine,,['Bernardo Segni'],"[{'type': 'OTHER', 'identifier': 'IBNF:CF990960005'}]"
423,,Annales caesenates,,['Gherardo Ortalli'],"[{'type': 'OTHER', 'identifier': 'STANFORD:36105038828492'}]"
424,Angiolini E.,Gli Annales Caesenates: proposta di edizione critica. Tesi dattiloscritta,,"['Antonio Montefusco', 'Giuliano Milani']","[{'type': 'ISBN_13', 'identifier': '9783110590739'}, {'type': 'ISBN_10', 'identifier': '3110590735'}]"
425,Artocchini C.,L'architettura castrense,,['Luigi Canina'],"[{'type': 'OTHER', 'identifier': 'WISC:89056270390'}]"
426,Artocchini C.,Castellaro Arcelli,,['Federico Arcelli'],"[{'type': 'ISBN_13', 'identifier': '9788849813197'}, {'type': 'ISBN_10', 'identifier': '8849813198'}]"
427,Artocchini C.,Castelli piacentini,,['Carmen Artocchini'],"[{'type': 'OTHER', 'identifier': 'OCLC:29283993'}]"
428,Artocchini C.,I castelli piacentini. Lo Stato Landi. Lo Stato Pallavicino,,,"[{'type': 'OTHER', 'identifier': 'UCLA:L0066440959'}]"
429,Rossini G.,Un'antica controversia per il possesso di Lugo e di S. Potito,,,"[{'type': 'OTHER', 'identifier': 'UOM:39015072471173'}]"
430,Rossini G.,Schedario cronologico,,,"[{'type': 'OTHER', 'identifier': 'IBNR:CR300102752'}]"
431,Rossi M.,Alberto III Pio e l'umanesimo a Carpi,8843568655,['Manuela Kahn-Rossi'],"[{'type': 'OTHER', 'identifier': 'STANFORD:36105121306349'}]"
432,Rossi M.,Carpi e il castello dei Pio,8843568655,"['Manuela Kahn-Rossi', 'Elena Svalduz']","[{'type': 'OTHER', 'identifier': 'STANFORD:36105115338571'}]"
433,Rossi S.,La rocca di San Secondo,,,"[{'type': 'OTHER', 'identifier': 'OCLC:955753947'}]"
434,"Rotelli E., Piacentini R.",Storia di Sassuolo. Dalle origini alla fine della Signoria Pio,,"['Elena Rotelli', 'Rosanna Piacentini']","[{'type': 'ISBN_10', 'identifier': '8889080094'}, {'type': 'ISBN_13', 'identifier': '9788889080092'}]"
435,"Maggi S., Artocchini C.",I castelli del piacentino nella storia e nella leggenda,,"['Serafino Maggi', 'Carmen Artocchini']","[{'type': 'OTHER', 'identifier': 'LCCN:71350453'}]"
436,Soranzo G.,La guerra fra Venezia e la S. Sede per il dominio di Ferrara: (1308-1313),,['Giovanni SORANZO (Historian.)'],"[{'type': 'OTHER', 'identifier': 'OCLC:503882332'}]"
437,Soranzo G.,L'Antico Navigabile Po di Primaro nella Vita Economica e Politica del Delta Padano,,['Giovanni Soranzo'],"[{'type': 'OTHER', 'identifier': 'LCCN:77239338'}]"
438,Soriani G. A.,Notizie storiche di Fusignano,,['Leone Vicchi'],"[{'type': 'OTHER', 'identifier': 'BL:A0026494694'}]"
439,Soriani G. A.,Supplemento storico sulla origine e progressi della città di Lugo,,['Giuseppe Antonio Soriani'],"[{'type': 'OTHER', 'identifier': 'OCLC:886289973'}]"
440,Solieri G.,L'antica casa degli Attendoli Sforza in Cotignola e gli uomini illustri cotignolesi,,['Gaetano Solieri'],"[{'type': 'OTHER', 'identifier': 'OCLC:799480092'}]"
441,Solieri G.,Le origini e la dominazione degli Sforza a Cotignola: appunti storici,,['Gaetano Solieri'],"[{'type': 'OTHER', 'identifier': 'OCLC:799480074'}]"
442,Simoni G.,Notizie storiche di taluni castelli distrutti nelle vallate del Sillaro e dell'Idice,,"['Deputazione di storia patria per le provincie di Romagna, Bologna']","[{'type': 'OTHER', 'identifier': 'UVA:X030527899'}]"
443,Serantini F.,Un documento inedito sulla fondazione di Castelbolognese,,['Enrica Zambelli'],"[{'type': 'OTHER', 'identifier': 'UOM:39015049674958'}]"
444,"Sercambi G., Lucchese",Le Croniche,,['Giovanni Sercambi'],"[{'type': 'OTHER', 'identifier': 'RMS:RMSIRFM$000002716$$$U'}]"
445,Servetti Donati F.,"Il ""paese del fiume"". Appunti per una storia del territorio (secoli XI-XVIII)",,,"[{'type': 'OTHER', 'identifier': 'STANFORD:36105011899452'}]"
446,Poggiali C.,Memorie storiche di Piacenza compilate dal preposto Cristoforo Poggiali bibliotecario di S.A.R.. IV,,['Cristoforo Poggiali'],"[{'type': 'OTHER', 'identifier': 'BML:37001102073447'}]"
447,Corna A. C./P. ?,Castelli e rocche del Piacentino,,['Andrea Corna (OFM)'],"[{'type': 'OTHER', 'identifier': 'OCLC:878294229'}]"
448,Caggese R.,Il comune rurale di Tredozio,,,"[{'type': 'OTHER', 'identifier': 'OCLC:1404555292'}]"
449,Calandrini S.,"San Mauro, Giovedia, la Torre. S. Mauro e Giovedia dall'Alto Medioevo al Settecento: la tenuta Torre dal 1700 al 1917",,"['Marino Mengozzi', 'Claudio Riva']","[{'type': 'OTHER', 'identifier': 'UOM:39015063289899'}]"
450,Calindri S.,Dizionario corografico della montagna e collina del territorio bolognese,,['Serafino Calindri'],"[{'type': 'OTHER', 'identifier': 'IBNR:CR102019808'}]"
451,Calzolari M.,Aspetti topografici e urbanistici della fondazione del nuovo Finale (1213),,,"[{'type': 'OTHER', 'identifier': 'UOM:39015056655486'}]"
452,Calzolari M.,Insediamenti altomedievali nella pianura tra Secchia e Panaro ?,,['Enrico Maragno'],"[{'type': 'OTHER', 'identifier': 'STANFORD:36105022382886'}]"
453,Calzolari M.,L'area archeologica di Santo Stefano di Concordia (MO): inquadramento topografico,,['Graziano Mario Valenti'],"[{'type': 'ISBN_13', 'identifier': '9788898533459'}, {'type': 'ISBN_10', 'identifier': '8898533454'}]"
454,Calzolari M.,Prima delle fonti scritte. Il contributo dei toponimi alla storia degli insediamenti romani e medievali,,['Bruno Andreolli'],"[{'type': 'OTHER', 'identifier': 'UOM:39015045663807'}]"
455,Calzolari M.,"Prime indicazioni per una lettura del territorio fra Bomporto, Ravarino, Crevalcore e Camposanto",,,"[{'type': 'OTHER', 'identifier': 'UOM:39015056655486'}]"
456,Campagnoli P.,Le torri di via terrapieni a S. Felice sul Panaro,,"['Elena Grandi', 'Provincia Modena']","[{'type': 'ISBN_13', 'identifier': '9788878145863'}, {'type': 'ISBN_10', 'identifier': '8878145866'}]"
457,Campari F. L.,"Un castello del Parmigiano attraverso i secoli. Pallavicini, Rossi e Rangoni",,['Francesco Luigi Campari'],"[{'type': 'OTHER', 'identifier': 'OCLC:877985157'}]"
458,Campi P. M.,Della historia ecclesiastica di Piacenza,,['Pietro Maria Campi'],"[{'type': 'OTHER', 'identifier': 'IBNN:BNA01001470234'}]"
459,Campi P. M.,Dell'historia ecclesiastica di Piacenza,,['Pietro Maria Campi'],"[{'type': 'OTHER', 'identifier': 'IBNN:BNA01001470234'}]"
460,Capozzi F.,Sul castello di Mordano. Memorie Istoriche,,,"[{'type': 'OTHER', 'identifier': 'OCLC:908542619'}]"
461,Caprara E.,Gli insediamenti medievali attraverso la cartografia moderna,,,"[{'type': 'OTHER', 'identifier': 'STANFORD:36105040754926'}]"
462,Casadei E.,"La città di Forlì e i suoi dintorni: guida storico-artistica della città di Forlì, Forlimpopoli, Bertinoro",,['Ettore Casadei'],"[{'type': 'OTHER', 'identifier': 'UCAL:B2832737'}]"
463,"Casadei M., Buda A.",Parrocchie e chiese nel corianese,,"['Maurizio Casadei', 'Alessandro Buda']","[{'type': 'OTHER', 'identifier': 'LCCN:2008372259'}]"
464,Casella M.,Del comitato auciense,,['Francesco Nicolli'],"[{'type': 'OTHER', 'identifier': 'ONB:+Z185496005'}]"
465,Casini T.,Scritti danteschi: con due facsimili e con documenti inediti,,['Tommaso Casini'],"[{'type': 'OTHER', 'identifier': 'OXFORD:302914292'}]"
466,Castagnoli P.,Il comune podestarile,,['Francesco Lanzani'],"[{'type': 'OTHER', 'identifier': 'EHC:148101005613U'}]"
467,Casini S.,Dizionario biografico geografico storico del Comune di Firenzuola,,['Stefano Casini'],"[{'type': 'OTHER', 'identifier': 'HARVARD:32044019910306'}]"
468,Castagnoli P.,Gian Galeazzo duca di Milano e il suo progetto di unificazione italiana,,['Jean-Claude Maire Vigueur'],"[{'type': 'OTHER', 'identifier': 'NWU:35556032611691'}]"
469,Castagnoli P.,Dal governo di Azzone all'ascesa al potere di Gian Galeazzo 1336-1385,,['Jean-Claude Maire Vigueur'],"[{'type': 'ISBN_13', 'identifier': '9788867282425'}, {'type': 'ISBN_10', 'identifier': '8867282425'}]"
470,Cecconi F.,Storia di San Pietro in Casale e di tutte le sue frazioni,,['Federico Cecconi'],"[{'type': 'ISBN_10', 'identifier': '8870371794'}, {'type': 'ISBN_13', 'identifier': '9788870371796'}]"
471,Cecilia A.,Marcabò,,['Dante Alighieri'],"[{'type': 'ISBN_10', 'identifier': '8883582446'}, {'type': 'ISBN_13', 'identifier': '9788883582448'}]"
